               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025186,            0.067929,           0.0072546,              0.9333,             0.81292,             0.93799,             0.74441,            0.018325,            0.054203,           0.0061631,           0.0082675,           0.0082675,           0.0082675
                  37,             0.02479,            0.067825,           0.0073731,             0.93883,             0.80383,             0.93792,             0.73931,            0.018212,            0.055063,           0.0061466,            0.008218,            0.008218,            0.008218
                  38,            0.024753,            0.067699,           0.0072294,             0.92524,             0.82841,             0.93581,             0.73937,            0.018125,            0.053514,           0.0061682,           0.0081685,           0.0081685,           0.0081685
                  39,            0.024849,            0.066422,           0.0071885,             0.82591,             0.90009,             0.94156,             0.73011,            0.017792,            0.053585,           0.0059734,            0.008119,            0.008119,            0.008119
                  40,            0.024323,            0.066823,           0.0070581,             0.81849,             0.89462,             0.93818,             0.74996,            0.018054,            0.054086,           0.0060325,           0.0080695,           0.0080695,           0.0080695
                  41,            0.024173,            0.065674,           0.0069971,              0.8789,             0.88191,             0.93978,             0.75164,            0.017684,            0.053766,           0.0059178,             0.00802,             0.00802,             0.00802
                  42,            0.024132,            0.065936,           0.0069936,             0.87838,             0.90271,             0.93886,             0.75538,            0.017725,            0.053675,           0.0058722,           0.0079705,           0.0079705,           0.0079705
                  43,            0.023833,             0.06577,            0.006889,             0.87199,             0.90572,             0.93518,             0.75245,            0.017122,            0.054351,           0.0057157,            0.007921,            0.007921,            0.007921
                  44,            0.023706,            0.065836,           0.0068213,             0.89529,             0.91368,             0.94065,             0.75319,            0.017294,            0.053443,           0.0056859,           0.0078715,           0.0078715,           0.0078715
                  45,            0.023431,            0.064962,           0.0067141,             0.90545,             0.89949,             0.94058,             0.75331,            0.017283,            0.053866,           0.0058423,            0.007822,            0.007822,            0.007822
                  46,            0.023221,            0.065371,           0.0068134,             0.89909,             0.91302,             0.94149,             0.75489,            0.017329,            0.053162,           0.0057014,           0.0077725,           0.0077725,           0.0077725
                  47,            0.023502,            0.065182,           0.0066712,             0.90922,             0.91266,             0.94456,             0.75645,            0.017017,            0.051381,           0.0056053,            0.007723,            0.007723,            0.007723
                  48,            0.023155,            0.064265,           0.0066489,             0.89973,             0.90257,             0.94415,             0.76401,            0.016875,            0.052226,           0.0058269,           0.0076735,           0.0076735,           0.0076735
                  49,            0.023058,            0.064877,           0.0064749,             0.92605,             0.90979,             0.94576,             0.77593,            0.016598,            0.051388,           0.0055626,            0.007624,            0.007624,            0.007624
                  50,            0.022919,            0.064237,           0.0065805,             0.91729,             0.91013,             0.94515,             0.76049,            0.016624,            0.051563,           0.0056872,           0.0075745,           0.0075745,           0.0075745
                  51,            0.022485,            0.063123,           0.0064076,             0.92773,             0.90288,             0.94574,             0.77323,            0.016684,            0.051038,           0.0056273,            0.007525,            0.007525,            0.007525
                  52,            0.022416,            0.064417,           0.0063209,             0.90269,             0.91184,             0.94049,             0.76337,            0.016553,            0.050341,            0.005645,           0.0074755,           0.0074755,           0.0074755
                  53,            0.022383,            0.062713,           0.0062774,             0.93818,             0.90514,             0.94712,              0.7651,            0.016543,            0.050993,           0.0053865,            0.007426,            0.007426,            0.007426
                  54,            0.022001,            0.061481,           0.0061522,             0.93325,             0.91134,             0.94618,             0.78273,            0.016028,            0.051127,           0.0054412,           0.0073765,           0.0073765,           0.0073765
                  55,            0.022135,            0.062477,            0.006288,             0.92903,             0.90711,              0.9484,             0.78034,            0.016295,            0.051761,           0.0055267,            0.007327,            0.007327,            0.007327
                  56,            0.021952,            0.062764,           0.0063073,               0.925,             0.90007,             0.94427,              0.7662,            0.016063,            0.051173,           0.0053414,           0.0072775,           0.0072775,           0.0072775
                  57,            0.022021,            0.062176,           0.0062811,              0.9427,             0.89754,             0.94913,             0.78421,             0.01582,            0.050744,           0.0054286,            0.007228,            0.007228,            0.007228
                  58,            0.021634,             0.06216,           0.0061499,             0.93139,             0.89825,             0.94432,             0.77771,            0.015969,            0.050321,           0.0055686,           0.0071785,           0.0071785,           0.0071785
